L,B,D,T,DWT,SC,OP,GP,WP,CREW,WD,TLWT,Total_flange,flange_usage
214.7,38,23.7,18,88326,0.56,0.06,12,0.25,50,105,6200,780,179
214.7,38.2,22.2,16,60000,0.42,0.057,53,0.057,77,84,2500,471,122
232,41.5,23.5,16,92800,0.58,0.089,38,0.122,60,126,6000,637,154
273,50,28,18.8,180000,1.4,0.003,35,0.174,84,366,11000,939,236
276.4,45,26.6,19.7,105000,0.94,0.22,840,0.063,116,320,15000,1036,252
300,59.6,30.5,22.8,343000,2,0.27,280,0.18,140,1400,23500,1053,269
285,60,32.3,24.4,340660,2.2,0.25,400,0.525,100,1180,23000,1081,257
296,63,32.3,24,375600,2.2,0.21,340,0.15,100,1220,30000,1259,310
312.4,60,33.2,24.3,329000,2,0.24,280,0.265,190,1365,30000,1160,297
305.1,58,32,23.4,312500,2,0.225,170,0.1,70,1030,22000,1169,312
260,46,25.8,18.5,142000,0.9,0.1,80,0.1,80,390,8000,712,168
319,58,31,23.4,360000,1.77,0.24,400,0.45,120,1310,24000,1048,272
320,58.4,32,24,337859,2.2,0.25,450,0.12,100,1462,35000,1248,292
310,61,30.5,23.5,321000,2,0.225,530,0.42,240,1325,37000,1337,307
320,61,32,24.7,353200,2,0.18,176.6,0.1,180,750,27700,1005,261
250.2,34,19.1,12.8,43276,0.28,0.14,100,0.12,70,450,4500,539,131
253,42,23.2,15,103000,0.6,0.07,110,0.022,55,85,5000,609,153
334.9,43.7,27.7,21.4,228033,1.5,0.1,52,0.02,76,383,3500,492,120
245.4,39.6,20.6,14.7,94238,0.65,0.035,100,0.018,85,75,1900,374,95
362,60,28.3,23,356400,1.3,0.081,75,0.05,100,700,4500,575,137
271.8,46,26.6,18,150000,0.94,0.13,150,0.18,80,120,12000,1093,269
271,44,22.4,17,138900,1.04,0.08,85,0.032,100,70,5500,670,172
337,54.5,27,21,273191,2,0.15,162,0.2,100,785,14000,1079,287
328.6,54.5,27,21,273622,1,0.15,210,0.251,194,1035,14000,1087,256
217.2,38,23,17,85943,0.45,0.1,75,0.3,90,113,6000,637,165
325,61,32.5,25.6,320000,1.9,0.22,150,0.382,240,800,32000,1299,304
346.3,57.3,28.5,22.9,322911,2,0.14,35,0.325,46,1200,14000,1039,239
295,50.6,29,19.9,128000,0.95,0.085,671,0.02,126,350,16000,1141,297
271.7,46,26.6,18.2,148192,0.95,0.08,53,0.06,89,134,12000,1096,266
242.3,42,21.1,14.9,105000,0.66,0.06,85,0.065,96,350,4500,516,130
